Time [s],Current [A],Power [W],Voltage [V],Capacity [Ah],Energy [Wh]
0.0,0.0,0.0,4.095210695268296,0.0,0.0
0.06,0.0,0.0,4.097135879366456,0.0,0.0
0.12,0.0,0.0,4.094966558639705,0.0,0.0
0.24,0.0,0.0,4.093497566316837,0.0,0.0
0.48,0.0,0.0,4.096285656495674,0.0,0.0
0.96,0.0,0.0,4.094663458282027,0.0,0.0
1.92,0.0,0.0,4.096265494158435,0.0,0.0
2.92,0.0,0.0,4.096709879496555,0.0,0.0
3.92,0.0,0.0,4.095880993676712,0.0,0.0
4.92,0.0,0.0,4.096542228494941,0.0,0.0
5.92,0.0,0.0,4.097279893376386,0.0,0.0
6.92,0.0,0.0,4.097341216476604,0.0,0.0
7.92,0.0,0.0,4.095534488043593,0.0,0.0
8.92,0.0,0.0,4.096440136540709,0.0,0.0
9.92,0.0,0.0,4.096870691191418,0.0,0.0
10.92,0.0,0.0,4.098080458297892,0.0,0.0
11.92,0.0,0.0,4.0961251880450575,0.0,0.0
12.92,0.0,0.0,4.0989805931299195,0.0,0.0
13.92,0.0,0.0,4.095318797063743,0.0,0.0
14.92,0.0,0.0,4.096547748595426,0.0,0.0
15.92,0.0,0.0,4.0966892874374645,0.0,0.0
16.92,0.0,0.0,4.099071480459605,0.0,0.0
17.92,0.0,0.0,4.096883750488111,0.0,0.0
18.92,0.0,0.0,4.096213663831197,0.0,0.0
19.92,0.0,0.0,4.0976420409057965,0.0,0.0
20.92,0.0,0.0,4.097548669576311,0.0,0.0
21.92,0.0,0.0,4.0966624144754125,0.0,0.0
22.92,0.0,0.0,4.095791704116727,0.0,0.0
23.92,0.0,0.0,4.097460518114726,0.0,0.0
24.92,0.0,0.0,4.09730345529172,0.0,0.0
25.92,0.0,0.0,4.097610247390088,0.0,0.0
26.92,0.0,0.0,4.096050590720664,0.0,0.0
27.92,0.0,0.0,4.096860933995872,0.0,0.0
28.92,0.0,0.0,4.096340866569768,0.0,0.0
29.92,0.0,0.0,4.095017338354007,0.0,0.0
30.92,0.0,0.0,4.096648495648254,0.0,0.0
31.92,0.0,0.0,4.09706160049202,0.0,0.0
32.92,0.0,0.0,4.0966258017392505,0.0,0.0
33.92,0.0,0.0,4.096189043354186,0.0,0.0
34.92,0.0,0.0,4.096356763352547,0.0,0.0
35.92,0.0,0.0,4.097428783459631,0.0,0.0
36.92,0.0,0.0,4.095906110060589,0.0,0.0
37.92,0.0,0.0,4.095815403327271,0.0,0.0
38.92,0.0,0.0,4.0963960643008654,0.0,0.0
