Time [s],Current [A],Power [W],Voltage [V],Capacity [Ah],Energy [Wh]
1197.4,5.603,19.953763032294855,3.5595013861840954,1.616148222222208,6.050834183362735
1197.5,5.628,20.04074877678992,3.5593510262874455,1.6163045555555413,6.051390870828756
1197.6000000000001,5.628,20.040532059394543,3.56046873448596,1.616460888888875,6.051947552274852
1197.7,5.628,20.040338105285166,3.561151887883481,1.6166172222222082,6.052504228333332
1197.8,5.628,20.040143947143545,3.560605488526679,1.6167735555555414,6.053060898998529
1197.9,5.628,20.039875750507687,3.5624377269068668,1.6169298888888748,6.053617562213821
1198.0,5.68,20.22024038839771,3.5612722644201917,1.6170876666666525,6.054179235557943
1198.1000000000001,5.68,20.21985376060078,3.5606356092211775,1.6172454444444306,6.054740898162406
1198.2,5.68,20.219633638959447,3.55908152253311,1.6174032222222081,6.055302554652377
1198.3,5.68,20.219413549466637,3.559868692897973,1.6175609999999856,6.05586420502875
1198.4,5.68,20.219300481391823,3.559476161606848,1.6177187777777637,6.056425852264344
1198.5,5.499,19.590677432279772,3.561462712542331,1.6178715277777636,6.056970037748575
1198.6000000000001,5.499,19.590925034960385,3.5642364795672243,1.6180242777777638,6.057514230110657
1198.7,5.499,19.59078863671486,3.56306678496397,1.6181770277777636,6.058058418683899
1198.8,5.499,19.590651586387143,3.562978049296782,1.6183297777777632,6.058602603450187
1198.9,5.499,19.59021940863226,3.5631314275239303,1.6184825277777635,6.059146776211539
1199.0,5.706,20.30846366491114,3.559222753513601,1.6186410277777632,6.05971090020223
1199.1000000000001,5.706,20.308152652214673,3.5589741981328404,1.6187995277777636,6.060275015553682
1199.2,5.706,20.307915489320415,3.55878403076239,1.6189580277777633,6.060839124317273
1199.3,5.706,20.307678563808846,3.558899253695119,1.619116527777763,6.061403226499601
1199.4,5.706,20.307883989153517,3.560281115476646,1.6192750277777632,6.061967334388189
1199.5,5.68,20.21706998673018,3.559020352460444,1.619432805555541,6.062528919665598
1199.6000000000001,5.68,20.21686511872118,3.559720224908179,1.6195905833333188,6.06309049925223
1199.7,5.68,20.216641605271096,3.559342362364787,1.6197483611110965,6.063652072630154
1199.8,5.68,20.216418110796383,3.5592546890021413,1.619906138888874,6.064213639799898
1199.9,5.68,20.216471209102,3.5575542893110903,1.6200639166666522,6.064775208444597
1200.0,5.551,19.768477309123142,3.560946377469475,1.6202181111110965,6.065324332814294
1200.1000000000001,5.551,19.768445161928256,3.562475013048476,1.620372305555541,6.0658734562910155
1200.2,5.551,19.768282064132308,3.562078434992415,1.6205264999999855,6.06642257523724
1200.3,5.551,19.768118509266145,3.559875481763037,1.6206806944444299,6.066971689640275
