Time [s],Current [A],Power [W],Voltage [V],Capacity [Ah],Energy [Wh]
0.0,0.0,0.0,4.097658690452555,0.0,0.0
0.06,0.0,0.0,4.096037448014107,0.0,0.0
0.12,0.0,0.0,4.096976658080526,0.0,0.0
0.24,0.0,0.0,4.096095371206686,0.0,0.0
0.48,0.0,0.0,4.094824510413869,0.0,0.0
0.96,0.0,0.0,4.096559919273657,0.0,0.0
1.92,0.0,0.0,4.09576834985367,0.0,0.0
2.92,0.0,0.0,4.096192797481099,0.0,0.0
3.92,0.0,0.0,4.09664334875613,0.0,0.0
4.92,0.0,0.0,4.095128322876526,0.0,0.0
5.92,0.0,0.0,4.097444021908472,0.0,0.0
6.92,0.0,0.0,4.096082808137111,0.0,0.0
7.92,0.0,0.0,4.0974606856346,0.0,0.0
8.92,0.0,0.0,4.096072429545109,0.0,0.0
9.92,0.0,0.0,4.096595481856826,0.0,0.0
10.92,0.0,0.0,4.095565447029504,0.0,0.0
11.92,0.0,0.0,4.097100932112203,0.0,0.0
12.92,0.0,0.0,4.096221181930163,0.0,0.0
13.92,0.0,0.0,4.096620167737159,0.0,0.0
14.92,0.0,0.0,4.097101015911439,0.0,0.0
15.92,0.0,0.0,4.098312901319486,0.0,0.0
16.92,0.0,0.0,4.0955845047010735,0.0,0.0
17.92,0.0,0.0,4.097035417580706,0.0,0.0
18.92,0.0,0.0,4.096345671421854,0.0,0.0
19.92,0.0,0.0,4.095837597448779,0.0,0.0
20.92,0.0,0.0,4.096507592438488,0.0,0.0
21.92,0.0,0.0,4.0964243239513145,0.0,0.0
22.92,0.0,0.0,4.097337517572532,0.0,0.0
23.92,0.0,0.0,4.095754049923832,0.0,0.0
24.92,0.0,0.0,4.095999893240175,0.0,0.0
25.92,0.0,0.0,4.097067930112987,0.0,0.0
26.92,0.0,0.0,4.097391288674326,0.0,0.0
27.92,0.0,0.0,4.09716201492489,0.0,0.0
28.92,0.0,0.0,4.098244813678406,0.0,0.0
29.92,0.0,0.0,4.094466295555269,0.0,0.0
30.92,0.0,0.0,4.09820704202954,0.0,0.0
31.92,0.0,0.0,4.096935707681525,0.0,0.0
32.92,0.0,0.0,4.096358336611266,0.0,0.0
33.92,0.0,0.0,4.095127025638511,0.0,0.0
34.92,0.0,0.0,4.0966563743367,0.0,0.0
35.92,0.0,0.0,4.097950551316302,0.0,0.0
36.92,0.0,0.0,4.0964612785679195,0.0,0.0
37.92,0.0,0.0,4.096158129844474,0.0,0.0
38.92,0.0,0.0,4.096645408078037,0.0,0.0
39.92,0.0,0.0,4.097145121362993,0.0,0.0
40.92,0.0,0.0,4.09713175848417,0.0,0.0
41.92,0.0,0.0,4.096836239877103,0.0,0.0
42.92,0.0,0.0,4.095494948007616,0.0,0.0
43.92,0.0,0.0,4.097890136311521,0.0,0.0
44.92,0.0,0.0,4.097713196424626,0.0,0.0
45.92,0.0,0.0,4.096743041206592,0.0,0.0
46.92,0.0,0.0,4.094492735251837,0.0,0.0
47.92,0.0,0.0,4.097659866634563,0.0,0.0
48.92,0.0,0.0,4.096038693275672,0.0,0.0
49.92,0.0,0.0,4.096067729602992,0.0,0.0
50.92,0.0,0.0,4.096870228768082,0.0,0.0
51.92,0.0,0.0,4.096635923701992,0.0,0.0
52.92,0.0,0.0,4.0969988564216875,0.0,0.0
53.92,0.0,0.0,4.096141434492046,0.0,0.0
54.92,0.0,0.0,4.097598623571225,0.0,0.0
55.92,0.0,0.0,4.096429666580884,0.0,0.0
56.92,0.0,0.0,4.09657781129011,0.0,0.0
57.92,0.0,0.0,4.098488363798465,0.0,0.0
58.92,0.0,0.0,4.0965869366439485,0.0,0.0
59.92,0.0,0.0,4.095533458508435,0.0,0.0
60.0,0.0,0.0,4.095642351335671,0.0,0.0
60.00000000000001,23.23790335516176,87.50999986186159,3.7673043392230583,4.586534284251513e-17,1.7272109641170312e-16
60.00149683599587,23.237965275015995,87.51000000000012,3.7649465397569264,9.662061915135767e-06,3.63855883330108e-05
60.00299367199174,23.238028433175923,87.5099999999493,3.7661990798570155,1.932415009061656e-05,7.277117666582774e-05
60.00598734398348,23.238154600186945,87.50999999142141,3.764070485966856,3.8648431359026006e-05,0.00014554235332454277
60.011974687966955,23.238405556190315,87.51,3.766655139110867,7.729741127359958e-05,0.0002910847066562403
60.0239493759339,23.238904395000326,87.51,3.767130990346194,0.00015459703039133856,0.0005821694133194626
60.0478987518678,23.23989184987373,87.51,3.765491422446332,0.0003092028377734779,0.0011643388266459073
60.071848127801694,23.240869072379624,87.5099999989231,3.7654241125132586,0.00046381514623038524,0.0017465082399651878
60.119746879669485,23.242804952597595,87.51000000000015,3.765033850793044,0.0007730655204348127,0.0029108470666180794
60.167645631537276,23.244722788129867,87.5099999958093,3.7648161540153042,0.0010823414118415412,0.00407518589321521
60.21554438340507,23.24662847532588,87.50999999267577,3.764050881714916,0.0013916426588144197,0.00523952471977065
60.31134188714066,23.250417611638618,87.5100000000001,3.7634238887649563,0.0020103459832602425,0.007568202373076604
60.407139390876246,23.25418685641138,87.5099999880427,3.763921310114817,0.002629149608883899,0.009896880026064368
60.59873439834742,23.2617167168714,87.50999999999993,3.761630950027844,0.0038671576055953586,0.014554235332676095
60.79032940581859,23.269285728727446,87.50999987553367,3.762062080386023,0.005105568431441014,0.019211590632663623
60.98192441328976,23.27695462120337,87.50999970080449,3.758133960066464,0.006344387402150898,0.02386894592335192
61.17351942076093,23.284774512718794,87.50999961976183,3.7573787479021035,0.007583622554020038,0.028526301209727056
61.365114428232104,23.292786518961684,87.51000000937752,3.757057500761832,0.008823284111554724,0.03318365651683786
61.748304443174455,23.30950229640414,87.50999966828283,3.7527722385952145,0.011304386481904127,0.04249836709475297
62.131494458116805,23.327299401103062,87.5100031550817,3.7500827634034657,0.013787383205813394,0.05181307804380877
62.514684473059155,23.346272428174217,87.5099996350856,3.7491431405551086,0.01627239945042458,0.06112778861819031
62.897874488001506,23.366484218594184,87.51000730907637,3.7462382499082687,0.018759567071778276,0.07044250000940425
63.281064502943856,23.387855551908686,87.50999549054956,3.741220773598999,0.02124900949355756,0.07975721014263444
63.66425451788621,23.4104571774246,87.51000000000288,3.736452159639708,0.023740857670119943,0.08907192075585837
64.04744453282855,23.43413805160221,87.51000115381567,3.732930751590138,0.026235226478496163,0.0983866314918959
64.4306345477709,23.458853166066824,87.5100007479574,3.729691806576694,0.028732226004950435,0.10770134218473319
65.1970145776556,23.511098077177884,87.50999999998511,3.722244499072842,0.0337373471291198,0.1263307634111773
65.9633946075403,23.566527424686864,87.5100103241941,3.7116798598846414,0.03875426823801151,0.14496018683547351
66.729774637425,23.624547713467038,87.51002189079033,3.7043714223741477,0.04378354089986135,0.1635896127221054
67.4961546673097,23.68464947840256,87.51002862133491,3.696977527001281,0.048825608226268795,0.1822190400415581
68.4961546673097,23.765438831098784,87.51000189937116,3.6832032015162692,0.05542711901268512,0.2065273739024945
69.4961546673097,23.848152202003664,87.50998092851583,3.669169653026368,0.062051605735463915,0.23083570193819333
70.0,23.890415367021227,87.51000000000063,3.6624044247589693,0.06539523747954902,0.24308334223367356
70.00000000000001,0.0,0.0,4.001186339272363,0.06539523747954902,0.24308334223367356
70.0040598742098,0.0,0.0,4.00089050539566,0.06539523747954902,0.24308334223367356
70.00811974841959,0.0,0.0,4.000917320528156,0.06539523747954902,0.24308334223367356
70.01623949683916,0.0,0.0,4.001809519402107,0.06539523747954902,0.24308334223367356
70.03247899367832,0.0,0.0,3.9996602096704748,0.06539523747954902,0.24308334223367356
70.06495798735665,0.0,0.0,4.000197292660751,0.06539523747954902,0.24308334223367356
70.09743698103497,0.0,0.0,4.002192249901201,0.06539523747954902,0.24308334223367356
70.1299159747133,0.0,0.0,4.001408354221522,0.06539523747954902,0.24308334223367356
70.16239496839162,0.0,0.0,4.004054037606807,0.06539523747954902,0.24308334223367356
70.22735295574827,0.0,0.0,4.000655338565088,0.06539523747954902,0.24308334223367356
70.29231094310492,0.0,0.0,4.003351551346494,0.06539523747954902,0.24308334223367356
70.42222691781821,0.0,0.0,4.003902399942189,0.06539523747954902,0.24308334223367356
70.55214289253149,0.0,0.0,4.005193404557749,0.06539523747954902,0.24308334223367356
70.68205886724478,0.0,0.0,4.006159855084408,0.06539523747954902,0.24308334223367356
70.81197484195806,0.0,0.0,4.007833324177983,0.06539523747954902,0.24308334223367356
70.94189081667135,0.0,0.0,4.009719953201297,0.06539523747954902,0.24308334223367356
71.07180679138463,0.0,0.0,4.009896191169138,0.06539523747954902,0.24308334223367356
71.3316387408112,0.0,0.0,4.010425505414805,0.06539523747954902,0.24308334223367356
71.59147069023777,0.0,0.0,4.012887509290914,0.06539523747954902,0.24308334223367356
71.85130263966434,0.0,0.0,4.014313604525764,0.06539523747954902,0.24308334223367356
72.11113458909091,0.0,0.0,4.016028775012324,0.06539523747954902,0.24308334223367356
72.37096653851748,0.0,0.0,4.016741434545679,0.06539523747954902,0.24308334223367356
72.63079848794405,0.0,0.0,4.0179173843853695,0.06539523747954902,0.24308334223367356
72.89063043737062,0.0,0.0,4.021914838411555,0.06539523747954902,0.24308334223367356
73.15046238679719,0.0,0.0,4.022322164983608,0.06539523747954902,0.24308334223367356
