order,coefficient
15,-1221171.4191439475
14,8885594.65057812
13,-28872395.793598928
12,55144591.7984546
11,-68486004.56354892
10,57636345.84965256
9,-33040694.843977343
8,12439317.82303105
7,-2659843.205237819
6,77096.10042814571
5,132305.7547931257
4,-40629.92102588662
3,5956.9539885365975
2,-493.6345204869341
1,26.148165871144947
0,2.4963482249062507
