SOC,Rs [Ohm],R1 [Ohm],C1 [F]
0.09489614861051875,0.028583793656739846,0.025272244381356758,743.0427029570051
0.15146513932236133,0.026714679340362254,0.022375347547267388,1304.3761140601064
0.20803413003420404,0.025910813208000826,0.013540052351699352,2132.31385438563
0.26460312074604647,0.025193327754993625,0.013258162536052874,1745.0497939962063
0.3211721114578891,0.024200671442938162,0.012761952137354272,1699.0732268538754
0.37774110216973167,0.02374201610725823,0.01165031053113683,1891.8840152689047
0.43431009288157424,0.02377990223607643,0.011192828006662272,1726.8926159042933
0.4908790835934168,0.023633516738800302,0.01423275366074014,1514.8745536988006
0.5474480743052594,0.023425983795164123,0.016330363312083592,1552.1788796166486
0.604017065017102,0.023307811663448915,0.01611095091505627,1777.5498217918132
0.6605860557289445,0.023625574214577262,0.015053989867608449,1455.9645359603974
0.7171550464407871,0.023989414173479454,0.015249469742991047,1629.6920469357606
0.7737240371526296,0.02449711610980072,0.015684279397032003,1589.2746125839133
0.8302930278644722,0.0249383429526524,0.015560273576146083,1725.4241640826335
0.8868620185763149,0.026019395432057914,0.02674043792575478,4215.766019444184
0.9434310092881574,0.027286617490909493,0.008216680455232585,2142.1055144754832
