SOC,Voltage [V]
0.0,2.498545640758231
0.010101010101010102,2.7109226061272413
0.020202020202020204,2.8621855861623935
0.030303030303030304,2.9719890647395
0.04040404040404041,3.0494248071119836
0.05050505050505051,3.1089398185986017
0.06060606060606061,3.1560615840997106
0.07070707070707072,3.194284006997142
0.08080808080808081,3.227128700867536
0.09090909090909091,3.2610668017762157
0.10101010101010102,3.2966257107040744
0.11111111111111112,3.330773204675326
0.12121212121212122,3.3650575911641964
0.13131313131313133,3.3935128696820365
0.14141414141414144,3.415385009240915
0.15151515151515152,3.4327640973787013
0.16161616161616163,3.445911639844928
0.17171717171717174,3.457569321842235
0.18181818181818182,3.4685014255787725
0.19191919191919193,3.477449248410867
0.20202020202020204,3.4850242200870367
0.21212121212121213,3.492158975741261
0.22222222222222224,3.5000375146330978
0.23232323232323235,3.5101917658874022
0.24242424242424243,3.519262732021468
0.25252525252525254,3.529376647513708
0.26262626262626265,3.538475199949973
0.27272727272727276,3.547968918371229
0.2828282828282829,3.5621384858272194
0.29292929292929293,3.57136494025093
0.30303030303030304,3.5825682269587484
0.31313131313131315,3.5931019925105105
0.32323232323232326,3.602721955739203
0.33333333333333337,3.6119904746777913
0.3434343434343435,3.6205393751716666
0.3535353535353536,3.630358822846051
0.36363636363636365,3.638996930443376
0.37373737373737376,3.6463505129778717
0.38383838383838387,3.6528923243028912
0.393939393939394,3.659156763902952
0.4040404040404041,3.66595824591426
0.4141414141414142,3.674168374663211
0.42424242424242425,3.681911194852063
0.43434343434343436,3.689498076570372
0.4444444444444445,3.6970120624854377
0.4545454545454546,3.7056276514864726
0.4646464646464647,3.7149009448244787
0.4747474747474748,3.7251250161565874
0.48484848484848486,3.7340954371243575
0.494949494949495,3.742709433634956
0.5050505050505051,3.7518174560583417
0.5151515151515152,3.7626827118723387
0.5252525252525253,3.7736247627133497
0.5353535353535354,3.782070335507607
0.5454545454545455,3.7920619204671904
0.5555555555555556,3.8006749981153627
0.5656565656565657,3.8092364557629748
0.5757575757575758,3.8186086923423703
0.5858585858585859,3.8261460433256915
0.595959595959596,3.834971040159056
0.6060606060606061,3.842295126778165
0.6161616161616162,3.8530600726609494
0.6262626262626263,3.8605242256808587
0.6363636363636365,3.8713744769954563
0.6464646464646465,3.8819758257348154
0.6565656565656566,3.8955884091061357
0.6666666666666667,3.9083140283750692
0.6767676767676768,3.922080423183816
0.686868686868687,3.932195822771377
0.696969696969697,3.942683676049347
0.7070707070707072,3.9509885773719806
0.7171717171717172,3.961150244417302
0.7272727272727273,3.971037752390894
0.7373737373737375,3.979332473462674
0.7474747474747475,3.9892896896534484
0.7575757575757577,3.998510647365833
0.7676767676767677,4.006604364289317
0.7777777777777778,4.018590882377081
0.787878787878788,4.027840143113132
0.797979797979798,4.037474534933629
0.8080808080808082,4.046902121745645
0.8181818181818182,4.056223809282005
0.8282828282828284,4.063888656400325
0.8383838383838385,4.069447243701685
0.8484848484848485,4.076745911981994
0.8585858585858587,4.0824353090715615
0.8686868686868687,4.086587674930734
0.8787878787878789,4.0893346949886045
0.888888888888889,4.092479168525928
0.8989898989898991,4.09442826199209
0.9090909090909092,4.0965469830614225
0.9191919191919192,4.101021139163159
0.9292929292929294,4.103646065542389
0.9393939393939394,4.1103798669527265
0.9494949494949496,4.1193756720194
0.9595959595959597,4.1303446459992985
0.9696969696969697,4.145119221455872
0.9797979797979799,4.159676697866987
0.98989898989899,4.176981575132508
1.0,4.198990590780205
